Timestamp,Latitude,Longitude,Altitude,Spoofed Latitude,Spoofed Longitude,Spoofed Altitude,Velocity North,Velocity East,Velocity Down,is_spoofed
2025-03-28T11:43:01.373596,47.3979552,8.5461552,4.924000263214111,N/A,N/A,N/A,0.09999999403953552,-1.2799999713897705,-0.04999999701976776,0
2025-03-28T11:43:01.393861,47.3979553,8.5461549,4.923000335693359,N/A,N/A,N/A,0.07000000029802322,-1.2699999809265137,-0.04999999701976776,0
2025-03-28T11:43:01.414029,47.3979553,8.5461545,4.922000408172607,N/A,N/A,N/A,0.04999999701976776,-1.2599999904632568,-0.04999999701976776,0
2025-03-28T11:43:01.434191,47.3979553,8.5461542,4.922000408172607,N/A,N/A,N/A,0.019999999552965164,-1.2400000095367432,-0.04999999701976776,0
2025-03-28T11:43:01.454268,47.3979554,8.546153799999999,4.921000003814697,N/A,N/A,N/A,0.0,-1.2300000190734863,-0.04999999701976776,0
2025-03-28T11:43:01.474342,47.3979554,8.5461536,4.921000003814697,N/A,N/A,N/A,-0.019999999552965164,-1.209999918937683,-0.03999999910593033,0
2025-03-28T11:43:01.494707,47.3979554,8.5461532,4.920000076293945,N/A,N/A,N/A,-0.03999999910593033,-1.1999999284744263,-0.03999999910593033,0
2025-03-28T11:43:01.514647,47.3979554,8.5461529,4.918000221252441,N/A,N/A,N/A,-0.07000000029802322,-1.1799999475479126,-0.03999999910593033,0
2025-03-28T11:43:01.534809,47.3979554,8.5461526,4.9160003662109375,N/A,N/A,N/A,-0.07999999821186066,-1.1699999570846558,-0.03999999910593033,0
2025-03-28T11:43:01.554886,47.3979554,8.5461523,4.9150004386901855,N/A,N/A,N/A,-0.10999999940395355,-1.149999976158142,-0.03999999910593033,0
2025-03-28T11:43:01.574881,47.3979554,8.5461519,4.914000034332275,N/A,N/A,N/A,-0.11999999731779099,-1.1299999952316284,-0.03999999910593033,0
2025-03-28T11:43:01.595233,47.3979553,8.5461517,4.913000106811523,N/A,N/A,N/A,-0.14999999105930328,-1.1100000143051147,-0.03999999910593033,0
2025-03-28T11:43:01.615061,47.3979553,8.5461513,4.9120001792907715,N/A,N/A,N/A,-0.1599999964237213,-1.100000023841858,-0.03999999910593033,0
2025-03-28T11:43:01.635146,47.3979553,8.5461511,4.910000324249268,N/A,N/A,N/A,-0.17999999225139618,-1.0799999237060547,-0.03999999910593033,0
2025-03-28T11:43:01.655194,47.3979552,8.5461508,4.909000396728516,N/A,N/A,N/A,-0.1899999976158142,-1.059999942779541,-0.03999999910593033,0
2025-03-28T11:43:01.675345,47.3979552,8.546150599999999,4.908000469207764,N/A,N/A,N/A,-0.20999999344348907,-1.0399999618530273,-0.04999999701976776,0
2025-03-28T11:43:01.695563,47.3979551,8.5461502,4.9070000648498535,N/A,N/A,N/A,-0.20999999344348907,-1.0299999713897705,-0.04999999701976776,0
2025-03-28T11:43:01.715597,47.3979551,8.546149999999999,4.906000137329102,N/A,N/A,N/A,-0.2199999988079071,-1.0,-0.04999999701976776,0
2025-03-28T11:43:01.735506,47.397954999999996,8.546149699999999,4.90500020980835,N/A,N/A,N/A,-0.22999998927116394,-0.9899999499320984,-0.04999999701976776,0
2025-03-28T11:43:01.755576,47.397954999999996,8.5461495,4.903000354766846,N/A,N/A,N/A,-0.22999998927116394,-0.9699999690055847,-0.04999999701976776,0
2025-03-28T11:43:01.775659,47.397954899999995,8.5461492,4.901000022888184,N/A,N/A,N/A,-0.22999998927116394,-0.949999988079071,-0.05999999865889549,0
2025-03-28T11:43:01.796128,47.3979548,8.546149,4.89900016784668,N/A,N/A,N/A,-0.22999998927116394,-0.9300000071525574,-0.05999999865889549,0
2025-03-28T11:43:01.815986,47.3979547,8.5461487,4.897000312805176,N/A,N/A,N/A,-0.22999998927116394,-0.9099999666213989,-0.05999999865889549,0
2025-03-28T11:43:01.836102,47.3979547,8.5461485,4.896000385284424,N/A,N/A,N/A,-0.2199999988079071,-0.8899999856948853,-0.05999999865889549,0
2025-03-28T11:43:01.856341,47.3979546,8.5461483,4.895000457763672,N/A,N/A,N/A,-0.2199999988079071,-0.8700000047683716,-0.07000000029802322,0
2025-03-28T11:43:01.876365,47.3979546,8.5461481,4.894000053405762,N/A,N/A,N/A,-0.20999999344348907,-0.8499999642372131,-0.07000000029802322,0
2025-03-28T11:43:01.896507,47.3979545,8.5461479,4.89300012588501,N/A,N/A,N/A,-0.19999998807907104,-0.8299999833106995,-0.07000000029802322,0
2025-03-28T11:43:01.916456,47.397954399999996,8.546147699999999,4.89300012588501,N/A,N/A,N/A,-0.17999999225139618,-0.8100000023841858,-0.07999999821186066,0
2025-03-28T11:43:01.936705,47.397954399999996,8.5461475,4.892000198364258,N/A,N/A,N/A,-0.17000000178813934,-0.7899999618530273,-0.07999999821186066,0
2025-03-28T11:43:01.956737,47.397954299999995,8.5461473,4.892000198364258,N/A,N/A,N/A,-0.14999999105930328,-0.7699999809265137,-0.07999999821186066,0
2025-03-28T11:43:01.976801,47.397954299999995,8.546147099999999,4.892000198364258,N/A,N/A,N/A,-0.14000000059604645,-0.7599999904632568,-0.07999999821186066,0
2025-03-28T11:43:01.996957,47.3979542,8.546147,4.89300012588501,N/A,N/A,N/A,-0.10999999940395355,-0.7299999594688416,-0.08999999612569809,0
2025-03-28T11:43:02.016988,47.3979542,8.546146799999999,4.894000053405762,N/A,N/A,N/A,-0.08999999612569809,-0.7199999690055847,-0.08999999612569809,0
